Price,Close,High,Low,Open,Volume
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA
Date,,,,,
2018-02-09,12405.8203125,12484.6103515625,12048.66015625,12364.3095703125,5690110000
2018-02-12,12560.1201171875,12627.41015625,12416.91015625,12496.349609375,4069220000
2018-02-13,12574.3701171875,12599.7197265625,12481.98046875,12512.2998046875,3503540000
2018-02-14,12746.7197265625,12761.4296875,12504.240234375,12515.490234375,4011940000
2018-02-15,12856.8701171875,12857.7197265625,12695.240234375,12817.1796875,3696140000
2018-02-16,12874.3603515625,12961.1201171875,12826.900390625,12826.900390625,3646920000
2018-02-20,12763.33984375,12855.7197265625,12730.009765625,12817.1396484375,3646920000
2018-02-21,12695.5302734375,12896.9296875,12695.3095703125,12777.3603515625,3789040000
2018-02-22,12711.75,12828.0,12687.240234375,12732.8203125,3720620000
2018-02-23,12884.1103515625,12885.1298828125,12755.33984375,12766.1298828125,3200360000
2018-02-26,12999.6201171875,13005.509765625,12881.98046875,12922.16015625,3436590000
2018-02-27,12819.2197265625,13018.150390625,12819.2197265625,12986.9404296875,3752070000
2018-02-28,12652.5498046875,12873.849609375,12650.8095703125,12852.1103515625,4244570000
2018-03-01,12518.73046875,12716.4501953125,12435.8701171875,12644.4296875,4514490000
2018-03-02,12557.990234375,12576.5595703125,12391.2099609375,12444.650390625,3891250000
2018-03-05,12680.73046875,12710.5703125,12482.7802734375,12498.4501953125,3733640000
2018-03-06,12720.76953125,12735.4404296875,12648.25,12722.3095703125,3389030000
2018-03-07,12707.009765625,12724.83984375,12603.5,12634.0400390625,3406690000
2018-03-08,12745.009765625,12754.3203125,12672.3603515625,12725.16015625,3206040000
2018-03-09,12918.8203125,12918.8203125,12782.9296875,12802.1396484375,3376870000
2018-03-12,12898.400390625,12963.419921875,12881.169921875,12930.4296875,3216960000
2018-03-13,12831.75,12963.08984375,12809.0703125,12938.5,3324290000
2018-03-14,12762.669921875,12892.900390625,12743.900390625,12874.51953125,3394630000
2018-03-15,12743.6103515625,12813.599609375,12722.9296875,12788.16015625,3543710000
2018-03-16,12784.3896484375,12821.8603515625,12752.6904296875,12752.6904296875,5429140000
2018-03-19,12651.4599609375,12755.5498046875,12580.0703125,12755.5498046875,3327460000
2018-03-20,12663.6396484375,12692.5302734375,12643.58984375,12663.25,3272590000
2018-03-21,12683.759765625,12776.330078125,12654.7197265625,12663.66015625,3434780000
2018-03-22,12377.3896484375,12597.099609375,12369.73046875,12574.16015625,3765460000
2018-03-23,12177.7001953125,12449.0302734375,12166.5400390625,12413.6103515625,3829380000
2018-03-26,12433.150390625,12444.400390625,12241.48046875,12327.0595703125,3538080000
2018-03-27,12302.5400390625,12517.259765625,12246.41015625,12466.3896484375,3761320000
2018-03-28,12308.900390625,12399.23046875,12271.0302734375,12325.2900390625,3875720000
2018-03-29,12452.0595703125,12512.0,12356.080078125,12356.1904296875,3572360000
2018-04-02,12216.7099609375,12441.849609375,12107.7197265625,12432.8896484375,3635780000
2018-04-03,12367.0703125,12380.25,12220.2099609375,12274.259765625,3395840000
2018-04-04,12466.4501953125,12482.7099609375,12193.849609375,12218.91015625,3369230000
2018-04-05,12571.9404296875,12605.080078125,12509.91015625,12512.419921875,3230430000
2018-04-06,12349.1103515625,12552.4697265625,12263.9296875,12511.599609375,3312390000
2018-04-09,12380.5498046875,12532.849609375,12374.919921875,12412.9404296875,3076140000
2018-04-10,12565.9697265625,12601.25,12380.5595703125,12380.5595703125,3579130000
2018-04-11,12514.58984375,12580.98046875,12501.2802734375,12509.3896484375,3054520000
2018-04-12,12580.2197265625,12623.7099609375,12552.7197265625,12558.98046875,3045330000
2018-04-13,12546.0498046875,12640.8798828125,12503.669921875,12580.2197265625,2988540000
2018-04-16,12628.2099609375,12660.1103515625,12573.0400390625,12601.400390625,3020740000
2018-04-17,12705.759765625,12733.6796875,12665.490234375,12680.3896484375,3286190000
2018-04-18,12732.849609375,12774.3701171875,12722.099609375,12737.1298828125,3412030000
2018-04-19,12671.48046875,12716.9501953125,12622.01953125,12714.6103515625,3375120000
2018-04-20,12607.16015625,12680.8701171875,12571.2099609375,12670.919921875,3428260000
2018-04-23,12610.76953125,12640.16015625,12567.2197265625,12618.0703125,3030390000
2018-04-24,12514.0,12675.9296875,12442.9296875,12659.9296875,3716020000
2018-04-25,12517.8603515625,12539.58984375,12408.7802734375,12491.4296875,3563680000
2018-04-26,12582.900390625,12621.16015625,12521.849609375,12539.650390625,3690920000
2018-04-27,12594.01953125,12614.8896484375,12552.9697265625,12567.669921875,3234510000
2018-04-30,12515.3603515625,12641.9296875,12515.3603515625,12615.349609375,3749510000
2018-05-01,12493.01953125,12493.0703125,12388.9501953125,12490.240234375,3562820000
2018-05-02,12418.0595703125,12521.650390625,12402.2802734375,12486.1103515625,4047020000
2018-05-03,12392.5,12419.7001953125,12255.849609375,12395.4697265625,3867530000
2018-05-04,12493.349609375,12527.9296875,12310.900390625,12335.41015625,3335260000
2018-05-07,12519.75,12567.7001953125,12492.83984375,12493.349609375,3266810000
2018-05-08,12520.240234375,12522.349609375,12458.25,12498.16015625,3745100000
2018-05-09,12632.490234375,12652.1103515625,12555.1796875,12565.23046875,3913650000
2018-05-10,12731.6396484375,12748.5703125,12653.8095703125,12660.23046875,3380640000
2018-05-11,12761.8203125,12788.75,12730.58984375,12748.91015625,2874850000
2018-05-14,12772.0302734375,12821.5400390625,12755.4599609375,12791.8896484375,2994360000
2018-05-15,12704.6298828125,12727.2900390625,12668.75,12711.8798828125,3291190000
2018-05-16,12743.7998046875,12764.5498046875,12706.740234375,12710.6298828125,3248480000
2018-05-17,12747.830078125,12787.1201171875,12714.1103515625,12741.5400390625,3478150000
2018-05-18,12717.419921875,12740.26953125,12700.5302734375,12735.1103515625,3383270000
2018-05-21,12804.009765625,12814.7001953125,12771.5703125,12771.5703125,3053480000
2018-05-22,12766.650390625,12853.330078125,12760.08984375,12832.169921875,3384140000
2018-05-23,12743.400390625,12743.419921875,12670.0703125,12701.580078125,3333160000
2018-05-24,12696.6904296875,12723.08984375,12625.6904296875,12715.2998046875,3285750000
2018-05-25,12634.9404296875,12652.2900390625,12606.8603515625,12646.580078125,3015260000
2018-05-29,12442.6904296875,12543.6904296875,12391.150390625,12516.5498046875,3743310000
2018-05-30,12625.8701171875,12647.919921875,12514.330078125,12514.330078125,3566490000
2018-05-31,12527.1396484375,12606.240234375,12499.6904296875,12606.240234375,4241100000
2018-06-01,12620.830078125,12635.1103515625,12595.91015625,12596.6796875,3694310000
2018-06-04,12673.91015625,12705.0498046875,12620.830078125,12620.830078125,3410090000
2018-06-05,12658.7001953125,12677.9501953125,12623.419921875,12673.91015625,3523550000
2018-06-06,12778.23046875,12778.51953125,12681.6103515625,12696.5302734375,3662780000
2018-06-07,12788.5,12826.8896484375,12750.4599609375,12797.9296875,3742080000
2018-06-08,12832.0703125,12833.5703125,12759.4501953125,12778.2197265625,3138850000
2018-06-11,12856.9599609375,12888.98046875,12842.7998046875,12845.080078125,3262130000
2018-06-12,12844.7099609375,12877.23046875,12822.9296875,12861.66015625,3435700000
2018-06-13,12785.4501953125,12859.009765625,12784.3095703125,12856.150390625,3820770000
2018-06-14,12771.9501953125,12823.8095703125,12761.509765625,12812.1298828125,3540930000
2018-06-15,12734.6396484375,12746.5703125,12659.9697265625,12727.3896484375,5451990000
2018-06-18,12708.6298828125,12711.6796875,12639.25,12660.669921875,3316120000
2018-06-19,12638.98046875,12708.6298828125,12569.9501953125,12708.6298828125,3671160000
2018-06-20,12648.740234375,12684.66015625,12634.4501953125,12676.3701171875,3332140000
2018-06-21,12560.23046875,12622.5400390625,12539.830078125,12620.400390625,3336580000
2018-06-22,12639.5703125,12677.7001953125,12634.73046875,12653.33984375,5468110000
2018-06-25,12481.599609375,12584.9501953125,12424.0302734375,12584.9501953125,3663280000
2018-06-26,12510.5498046875,12544.7802734375,12466.1201171875,12501.33984375,3568900000
2018-06-27,12412.0703125,12594.4599609375,12412.009765625,12528.4404296875,3803990000
2018-06-28,12475.98046875,12503.7001953125,12377.0400390625,12412.1904296875,3461100000
2018-06-29,12504.25,12607.3896484375,12504.25,12537.1904296875,3586800000
2018-07-02,12485.580078125,12486.5400390625,12400.5400390625,12430.7001953125,3095040000
2018-07-03,12494.7001953125,12576.8203125,12484.599609375,12542.330078125,1911460000
2018-07-05,12585.2099609375,12587.919921875,12512.5,12553.7802734375,2980160000
2018-07-06,12664.8798828125,12684.349609375,12561.9599609375,12578.8603515625,2590250000
2018-07-09,12776.919921875,12779.76953125,12712.330078125,12712.330078125,3070060000
2018-07-10,12814.6396484375,12820.080078125,12782.76953125,12795.4599609375,3080140000
2018-07-11,12681.58984375,12756.0400390625,12665.599609375,12737.9697265625,2986180000
2018-07-12,12761.4599609375,12771.98046875,12709.2802734375,12746.7197265625,2834230000
2018-07-13,12769.5,12783.240234375,12727.759765625,12744.7998046875,2619790000
2018-07-16,12748.7802734375,12766.1796875,12717.0703125,12758.51953125,2819860000
2018-07-17,12779.2197265625,12797.580078125,12725.990234375,12731.48046875,3064920000
2018-07-18,12823.23046875,12825.6904296875,12770.3203125,12786.259765625,3111560000
2018-07-19,12786.48046875,12815.0,12751.7998046875,12786.3701171875,3278360000
2018-07-20,12789.91015625,12807.98046875,12770.1904296875,12778.2197265625,3243250000
2018-07-23,12794.0498046875,12803.169921875,12765.580078125,12788.5,2928490000
2018-07-24,12847.490234375,12883.0498046875,12814.0400390625,12836.6298828125,3430410000
2018-07-25,12933.6298828125,12940.26953125,12820.5703125,12836.3603515625,3584400000
2018-07-26,12953.3896484375,12985.5703125,12929.7900390625,12929.7900390625,3667290000
2018-07-27,12921.33984375,12978.8203125,12886.58984375,12967.3798828125,3434370000
2018-07-30,12903.4296875,12961.900390625,12895.6201171875,12936.7802734375,3261190000
2018-07-31,12963.2802734375,12989.4599609375,12903.4296875,12903.4296875,3906890000
2018-08-01,12902.3896484375,12961.6904296875,12879.4697265625,12949.849609375,3501350000
2018-08-02,12898.0703125,12904.75,12803.900390625,12818.58984375,3501380000
2018-08-03,12953.33984375,12955.76953125,12893.2998046875,12893.919921875,3043690000
2018-08-06,12964.26953125,12985.48046875,12918.8095703125,12939.76953125,2879020000
2018-08-07,12999.58984375,13039.5595703125,12997.2802734375,13011.2998046875,3185440000
2018-08-08,12987.91015625,13007.650390625,12966.8203125,12995.919921875,2978070000
2018-08-09,12956.66015625,13001.669921875,12949.91015625,12983.25,3066180000
2018-08-10,12843.490234375,12878.0302734375,12818.009765625,12868.099609375,3265590000
2018-08-13,12763.66015625,12853.169921875,12746.009765625,12836.650390625,3173630000
2018-08-14,12835.3095703125,12849.490234375,12791.9501953125,12791.9501953125,2986500000
2018-08-15,12723.08984375,12752.5,12648.3203125,12752.5,3656680000
2018-08-16,12841.2802734375,12875.41015625,12784.759765625,12784.759765625,3232000000
2018-08-17,12908.259765625,12928.1796875,12834.1103515625,12839.7197265625,3037640000
2018-08-20,12965.099609375,12973.5595703125,12929.4296875,12930.150390625,2757150000
2018-08-21,12996.759765625,13032.25,12993.9501953125,12998.0400390625,3174010000
2018-08-22,12990.509765625,13013.0595703125,12983.01953125,13007.5703125,2701250000
2018-08-23,12933.4599609375,12988.2099609375,12922.83984375,12978.58984375,2724450000
2018-08-24,12999.4404296875,13011.6904296875,12964.2998046875,12968.8203125,2603010000
2018-08-27,13102.0302734375,13110.7001953125,13043.4296875,13043.4296875,2865070000
2018-08-28,13084.7998046875,13130.490234375,13075.1396484375,13125.33984375,2687770000
2018-08-29,13132.16015625,13148.419921875,13074.8203125,13098.849609375,2805520000
2018-08-30,13039.9296875,13094.7802734375,13019.4404296875,13094.7802734375,2810450000
2018-08-31,13016.8896484375,13037.08984375,12965.48046875,13007.3701171875,2887220000
2018-09-04,12969.8603515625,12984.2001953125,12928.2900390625,12976.0498046875,3087420000
2018-09-05,12968.5498046875,12977.099609375,12908.009765625,12944.0498046875,3248780000
2018-09-06,12938.91015625,12993.16015625,12900.8203125,12960.2099609375,3144240000
2018-09-07,12911.1201171875,12939.919921875,12875.6298828125,12898.3896484375,2976580000
2018-09-10,12928.669921875,12994.83984375,12928.1201171875,12952.08984375,2751100000
2018-09-11,12952.2998046875,12968.900390625,12873.3798828125,12896.76953125,2904500000
2018-09-12,12990.099609375,13017.4697265625,12952.3095703125,12952.3095703125,3341280000
2018-09-13,13034.6103515625,13055.33984375,13000.7197265625,13022.6298828125,3274090000
2018-09-14,13050.51953125,13064.8798828125,13014.490234375,13042.3798828125,3179410000
2018-09-17,13031.91015625,13073.9599609375,13020.580078125,13059.23046875,2967980000
2018-09-18,13091.98046875,13112.3798828125,13038.66015625,13044.9296875,3091190000
2018-09-19,13121.9697265625,13155.169921875,13103.599609375,13105.1298828125,3302460000
2018-09-20,13225.1103515625,13238.740234375,13173.7099609375,13183.66015625,3406520000
2018-09-21,13236.4404296875,13261.76953125,13228.740234375,13243.419921875,5652470000
2018-09-24,13162.0498046875,13237.8095703125,13148.669921875,13235.2099609375,3392030000
2018-09-25,13160.599609375,13215.259765625,13154.5595703125,13203.900390625,3330880000
2018-09-26,13101.9599609375,13203.98046875,13093.08984375,13164.8203125,3417540000
2018-09-27,13105.7197265625,13164.6796875,13097.08984375,13111.990234375,3101360000
2018-09-28,13082.51953125,13121.349609375,13065.9296875,13071.400390625,3461680000
2018-10-01,13125.349609375,13169.7998046875,13099.9404296875,13146.2998046875,3375890000
2018-10-02,13106.009765625,13129.01953125,13069.150390625,13108.740234375,3432620000
2018-10-03,13118.5498046875,13175.6103515625,13101.1396484375,13146.6796875,3625510000
2018-10-04,13042.2998046875,13099.3701171875,12975.8701171875,13089.23046875,3510370000
2018-10-05,12991.9501953125,13069.1298828125,12935.650390625,13043.4697265625,3340820000
2018-10-08,13000.1396484375,13014.919921875,12913.3603515625,12955.6904296875,3381820000
2018-10-09,12960.4501953125,13008.51953125,12926.16015625,12970.1796875,3531690000
2018-10-10,12622.1298828125,12952.7099609375,12620.2802734375,12952.1201171875,4554260000
2018-10-11,12349.5302734375,12625.919921875,12299.0498046875,12574.58984375,4914090000
2018-10-12,12439.419921875,12501.5595703125,12304.83984375,12485.240234375,4024010000
2018-10-15,12425.6796875,12519.1201171875,12408.7001953125,12437.740234375,3327160000
2018-10-16,12645.9501953125,12653.8896484375,12425.6796875,12425.6796875,3460260000
2018-10-17,12613.0498046875,12646.4599609375,12507.9296875,12612.1796875,3347090000
2018-10-18,12445.48046875,12601.7900390625,12397.25,12570.66015625,3639300000
2018-10-19,12457.26953125,12558.6103515625,12434.919921875,12469.7001953125,3593940000
2018-10-22,12374.759765625,12489.7998046875,12354.0400390625,12474.150390625,3331270000
2018-10-23,12287.4404296875,12343.4599609375,12108.4404296875,12234.990234375,4373710000
2018-10-24,11969.740234375,12290.240234375,11957.1298828125,12274.3798828125,4738670000
2018-10-25,12118.849609375,12187.849609375,11993.2001953125,12023.5,4663930000
2018-10-26,11976.9501953125,12082.509765625,11847.7900390625,12006.759765625,4804330000
2018-10-29,11942.509765625,12178.8798828125,11820.330078125,12084.490234375,4701260000
2018-10-30,12129.9404296875,12139.2001953125,11952.7099609375,11961.599609375,5125600000
2018-10-31,12208.0595703125,12306.0400390625,12198.650390625,12198.650390625,5133380000
2018-11-01,12356.5,12363.3203125,12208.0595703125,12208.0595703125,4730250000
2018-11-02,12321.7998046875,12449.9404296875,12230.3203125,12410.73046875,4261230000
2018-11-05,12424.3095703125,12450.1298828125,12368.1904296875,12381.6904296875,3650910000
2018-11-06,12480.0595703125,12482.759765625,12413.349609375,12413.349609375,3543800000
