Price,Close,High,Low,Open,Volume
Ticker,JKH-N0000.CM,JKH-N0000.CM,JKH-N0000.CM,JKH-N0000.CM,JKH-N0000.CM
Date,,,,,
2018-01-01 00:00:00,147.2368469,147.2368469,147.2368469,147.2368469,0
2018-01-02 00:00:00,148.7240753,148.9223711,148.7240753,147.4351303,37463
2018-01-03 00:00:00,154.1773071,155.1688011,154.6730541,148.7240905,399066
2018-01-04 00:00:00,154.6730499,154.6730499,153.681556,154.6730499,628634
2018-01-05 00:00:00,158.6390228,158.6390228,158.6390228,155.1687942,1006750
2018-01-08 00:00:00,163.5964966,165.5794844,158.639027,158.639027,334049
2018-01-09 00:00:00,162.5058441,163.5964935,163.5964935,158.9364752,764596
2018-01-10 00:00:00,162.605011,162.9024622,159.1347821,162.605011,201648
2018-01-11 00:00:00,161.1177521,161.1177521,161.1177521,159.1347644,30677
2018-01-12 00:00:00,156.755188,161.117755,153.8798467,161.117755,248977
2018-01-15 00:00:00,156.755188,156.755188,156.755188,156.755188,0
2018-01-16 00:00:00,156.9534912,158.6390279,155.6645461,157.6475339,50094
2018-01-17 00:00:00,158.6390228,158.6390228,156.7551905,157.6475289,991426
2018-01-18 00:00:00,158.6390228,158.6390228,158.6390228,158.6390228,1939571
2018-01-19 00:00:00,162.605011,163.2990537,158.6390351,158.6390351,593976
2018-01-22 00:00:00,163.3981934,163.5964891,163.5964891,162.6049952,775761
2018-01-23 00:00:00,163.8939362,164.5879788,162.6049911,163.3981892,1584808
2018-01-24 00:00:00,164.1914063,164.9845893,162.6050099,162.6050099,158456
2018-01-25 00:00:00,164.4888306,164.587986,161.6135043,163.5964921,142664
2018-01-26 00:00:00,164.2905426,164.5879938,159.6305241,159.6305241,158647
2018-01-29 00:00:00,161.6134949,164.2905252,161.6134949,163.5964825,42387
2018-01-30 00:00:00,163.3981934,163.5964891,158.6390197,159.6305136,196118
2018-01-31 00:00:00,163.3981934,163.3981934,163.3981934,163.3981934,0
2018-02-01 00:00:00,162.9024658,163.0016061,161.8118164,162.6050146,366439
2018-02-02 00:00:00,158.6390228,163.4973368,158.6390228,163.4973368,294476
2018-02-05 00:00:00,158.6390228,158.6390228,158.6390228,158.6390228,0
2018-02-06 00:00:00,157.1517792,158.63902,156.6560322,158.63902,814524
2018-02-07 00:00:00,156.1602936,157.1517875,155.7637021,157.1517875,469971
2018-02-08 00:00:00,156.9534912,157.0526315,156.65604,156.65604,60278
2018-02-09 00:00:00,157.1517792,157.1517792,156.9534834,156.9534834,66607
2018-02-12 00:00:00,153.9790192,158.6390379,153.6815679,157.1517969,83497
2018-02-13 00:00:00,153.9790192,153.9790192,153.9790192,153.9790192,0
2018-02-14 00:00:00,153.9790192,153.9790192,153.9790192,153.9790192,0
2018-02-15 00:00:00,156.5568848,156.6560402,154.6730524,155.7637017,45554
2018-02-16 00:00:00,156.6560211,158.440713,155.6645273,156.6560211,47114
2018-02-19 00:00:00,156.6560211,156.6560211,156.6560211,156.6560211,17091
2018-02-20 00:00:00,157.6475372,157.6475372,157.6475372,157.6475372,1038108
2018-02-21 00:00:00,158.4407349,158.7381861,157.9449879,158.5398752,25036
2018-02-22 00:00:00,157.6475372,157.6475372,157.6475372,158.0441288,205991
2018-02-23 00:00:00,158.6390228,158.936474,157.151782,157.6475289,367769
2018-02-26 00:00:00,158.2424316,158.7381786,157.6475293,158.6390231,44884
2018-02-27 00:00:00,158.6390228,158.936474,158.2424313,158.2424313,84348
2018-02-28 00:00:00,158.8373108,159.2339174,158.639015,158.639015,56998
2018-03-01 00:00:00,158.8373108,158.8373108,158.8373108,158.8373108,0
2018-03-02 00:00:00,161.6134949,161.7126503,159.6305072,159.6305072,332614
2018-03-05 00:00:00,162.605011,162.605011,162.605011,161.613517,399161
2018-03-06 00:00:00,161.4152069,161.6135027,161.1177557,162.6049965,223129
2018-03-07 00:00:00,159.4322205,160.1262632,159.1347693,161.5143485,17446
2018-03-08 00:00:00,161.6134949,161.6134949,160.1262541,159.6305072,409782
2018-03-09 00:00:00,162.4067078,163.1999059,161.6135096,161.6135096,421606
2018-03-12 00:00:00,160.7211761,160.6220207,160.1262737,161.8118104,32483
2018-03-13 00:00:00,160.6220245,161.6135185,159.6305306,160.6220245,455785
2018-03-14 00:00:00,161.1177521,160.6220051,160.6220051,161.1177521,36532
2018-03-15 00:00:00,161.6134949,162.5058333,160.622001,160.622001,458391
2018-03-16 00:00:00,163.1007385,163.3981897,162.4066959,162.4066959,795236
2018-03-19 00:00:00,163.1007385,163.1007385,160.6220039,163.1007385,29
2018-03-20 00:00:00,158.9364624,160.6219989,158.1432643,160.6219989,6836
2018-03-21 00:00:00,157.1517792,156.1602853,156.1602853,158.63902,55161
2018-03-22 00:00:00,157.6475372,157.6475372,157.1517903,158.5398757,79602
2018-03-23 00:00:00,157.1517792,158.143273,156.854328,158.143273,190977
2018-03-26 00:00:00,158.3415833,158.6390345,157.1517935,157.1517935,348679
2018-03-27 00:00:00,157.6475372,158.6390312,158.6390312,157.1517903,300430
2018-03-28 00:00:00,157.6475372,158.1432842,158.1432842,157.5483818,303578
2018-03-29 00:00:00,158.2424316,158.6390231,157.6475293,158.4407274,10320
2018-03-30 00:00:00,158.2424316,158.2424316,158.2424316,158.2424316,0
2018-04-02 00:00:00,157.9449768,158.6390195,157.9449768,158.6390195,8685
2018-04-03 00:00:00,158.3415833,158.6390345,158.1432875,158.1432875,80280
2018-04-04 00:00:00,158.6390228,158.6390228,158.1432759,158.1432759,11916
2018-04-05 00:00:00,158.14328,158.639027,158.14328,158.639027,199739
2018-04-06 00:00:00,157.6475372,158.1432842,157.6475372,157.9449884,24236
